date,mst_total_weight,pmfg_total_weight,mst_clustering,pmfg_clustering,avg_correlation
2020-04-10,22.97126463944014,68.70619008519677,0.0,0.7116269841269841,0.05698026928622393
2020-04-20,23.67227988130508,70.02491813187407,0.0,0.7082683982683983,0.03067364937875534
2020-04-30,23.9301337075393,70.65347936162789,0.0,0.6426190476190476,0.022932672065522387
2020-05-10,23.572438674305815,70.67226983074912,0.0,0.6894597069597069,0.017473539418079293
2020-05-20,23.656093355194493,70.35707172824459,0.0,0.6519588744588745,0.018919183819425093
2020-05-30,23.550010229888183,70.50571913550955,0.0,0.6490476190476191,0.02171793351151052
2020-06-09,23.393538986068677,70.48438119968255,0.0,0.6617965367965368,0.01970600963549432
2020-06-19,23.290103263884877,70.30598503956942,0.0,0.6078427128427129,0.019030607677824034
2020-06-29,23.32261682853961,70.5064191660185,0.0,0.713452380952381,0.020343351803006386
2020-07-09,23.63090010225619,70.71111340327289,0.0,0.6381746031746032,0.01109780534560894
2020-07-19,23.557636215761725,71.04552408572911,0.0,0.5498015873015872,0.002267995138069579
2020-07-29,23.875858271623713,71.57482021141209,0.0,0.6933058608058608,-0.004198026068393307
2020-08-08,23.751050928759277,71.26575774496862,0.0,0.628015873015873,-0.007914143191937055
2020-08-18,23.48932664090168,70.66238159739189,0.0,0.6071572871572871,0.0007236211206734392
2020-08-28,23.4718455990837,70.59230977071768,0.0,0.5964285714285714,-0.0017764923829035571
2020-09-07,23.54664433016174,70.62376638225506,0.0,0.5807142857142857,-0.005258869544021411
2020-09-17,23.57186407704886,71.14674583707999,0.0,0.6271428571428571,-0.004454474283097192
2020-09-27,23.40405662512253,70.24886453610826,0.0,0.6427777777777778,-0.0032786638789079636
2020-10-07,23.518658315205823,70.57987858789998,0.0,0.5353571428571429,-0.005841480991599625
2020-10-17,23.42008867179685,70.60701803430669,0.0,0.5604761904761905,-0.0011118577808805546
2020-10-27,23.464666652288322,70.49605670740786,0.0,0.5657936507936508,-0.00020053725005188364
2020-11-06,23.317569015017774,70.40083233643821,0.0,0.6714682539682539,0.003982980859516904
2020-11-16,23.410421070118765,70.70845681939144,0.0,0.7006096681096681,0.004293690758764234
2020-11-26,23.34110348658558,70.59704854869788,0.0,0.5480952380952381,-0.001653451014680194
2020-12-06,23.29354827982602,70.55832966971224,0.0,0.6577128427128427,0.001056949610588159
2020-12-16,23.400410076191463,70.76743906668159,0.0,0.6306493506493507,-0.0004272191245665185
2020-12-26,23.64200876647021,70.6629896816008,0.0,0.6583730158730159,0.0017034781931696572
2021-01-05,23.683210668554157,71.15029845140401,0.0,0.7246031746031746,0.003452804738428705
2021-01-15,23.806611857249607,70.93852375574521,0.0,0.5913492063492064,0.004506923946785951
2021-01-25,23.743470328983193,70.97820972417364,0.0,0.6270634920634921,0.0015442397601285985
2021-02-04,23.9178761808666,71.39874411991153,0.0,0.627521645021645,0.0014710064241618592
2021-02-14,23.973402862056602,71.53141495138476,0.0,0.6372077922077922,-0.0014457506547164729
2021-02-24,24.069398133729123,71.92220933937149,0.0,0.6394660894660895,-0.003096124046046702
2021-03-06,24.052955491982026,71.81872669204814,0.0,0.6065079365079364,-0.007381619095702324
2021-03-16,24.033047696989094,72.02980830391361,0.0,0.6079365079365079,-0.006906488914692506
2021-03-26,23.949267952694658,71.8499132735211,0.0,0.6054365079365079,-0.00325670891051733
2021-04-05,23.8896832813002,71.3007863734165,0.0,0.5652380952380953,-0.003668945208376262
2021-04-15,23.812104308966205,71.17651040095765,0.0,0.6453174603174603,-0.0065267332347410285
2021-04-25,23.711990029124728,71.20751550850419,0.0,0.7011507936507937,-0.0062578583029084195
2021-05-05,23.575672292337657,70.88201389421147,0.0,0.6895634920634921,-0.0004656279217088169
