,Asset_00,Asset_01,Asset_02,Asset_03,Asset_04,Asset_05,Asset_06,Asset_07,Asset_08,Asset_09,Asset_10,Asset_11,Asset_12,Asset_13,Asset_14,Asset_15,Asset_16,Asset_17,Asset_18,Asset_19
2020-01-01,0.023628268021626,0.025689169858192414,-0.0010280713577675623,-0.0300325853680459,-0.024559186107635703,-0.010093800228277482,-0.003515800296734546,-0.0035919301318880167,0.03489533985433868,0.013155614509364859,-0.029367930726901158,0.0022432315764838832,0.01094260665269512,-0.0020002467540838386,0.026500180263207766,-0.003924799494082188,-0.03881896164842463,-0.011659192729349465,0.020873165580609605,-0.0016398419255994484
2020-01-02,0.02130214771327655,-0.011243334322599217,0.015904312346474967,-0.021437983372298502,0.008361773560866127,-0.01434010849862427,-0.00028860815775168594,-0.009231969803854635,0.009679312303510275,0.03143969015541796,0.021294289736550235,0.02386104296379407,0.027482375006453716,0.010336365494441942,-0.019350948084132992,-0.010096049831626729,-0.004962512163560426,-0.019967069468457097,-0.022496768761884063,0.015191436616284349
2020-01-03,-0.02425940858667759,-0.042121288824307324,-0.04287163963231287,-0.03237804239332197,-0.024294616650842815,-0.016241380415304364,-0.0011776929253502493,-0.023261900111606674,-0.034722732270582486,-0.001105229764849976,0.026739820423743968,-0.02056483043215775,0.022622660909064726,0.005272397152686285,-0.022622627901859878,-0.014969887168820261,-0.020766647516010036,-0.051228246587622095,-0.03230484453561027,-0.04253010926428525
2020-01-04,-0.0018410815387028753,0.012744451114401081,-0.028296611508282655,-0.015800933643897088,-0.024679948291291505,-0.032679171603674215,-0.01725426301176709,-0.029115761566708476,-0.014218650351374564,-0.010712924159717797,-0.04622121716613495,-0.01909344603151488,-0.0486771370599056,-0.0339965144092398,-0.021992058070879006,-0.02366223455856735,-0.029288812431241734,-0.016069493890343706,-0.0012091912613357673,-0.034159442955181085
2020-01-05,-4.8845692606635724e-05,-0.027191200812417174,-0.007482089952925035,-0.024356892641595067,0.005325028146614218,-0.03246955563469971,-0.030523075965538354,-0.012114609298777168,-0.014522905770421802,0.014105653914489001,-0.016385181140385854,0.007426094957316167,-0.011806056832560741,0.0061270824413381456,0.018327459787498366,0.004104611381158798,-0.01520433397067222,-0.035426358302489636,-0.005995087716516547,-0.02024279169395577
2020-01-06,0.015868283328549098,0.002666194908833204,-0.006857638033388539,-0.022986635775700637,-0.026345514318301132,-0.014726727701060392,-0.0032782883861005307,0.02459467158509147,-0.006837381647826841,-0.038377951865902635,-0.004092739090575102,-0.009826681625928332,0.007949961116309811,-0.014504898015277115,0.0036351507047252913,0.0043159842429774395,0.030966544911959944,0.004370637917127665,0.005595493995605848,-0.020012382616907715
2020-01-07,-0.010249349782855008,0.015591836254575504,-0.0018306788113579848,0.00748961099446741,-0.01349493325320677,-0.030127721652752903,0.023169409554048555,0.017902319761542433,-0.027789627497394477,0.024266346035398168,-0.010044564059957933,0.005981708440377339,0.013102452354516618,0.006196486201535897,-0.008661291741794384,-0.03880150542921883,0.01130160735242494,0.025375092301907605,0.009143568355265422,-0.028619554825471807
2020-01-08,0.032201277548576476,0.042712567222069016,0.013205027950854533,-0.015294409228810188,-0.022239986331179205,-0.02055829066369539,0.008262176099606085,-0.009340986013965094,0.009384630674040285,-0.014144942484297821,0.012146839477501545,-0.02742721031510233,-0.023013613235231763,-0.021914039088058952,-0.01895349739996815,0.012996158152510363,-0.01208347189953606,-0.004367928407330919,0.022099008912963278,-0.014442662153420556
2020-01-09,0.028588424658392515,0.04293521087442702,0.0057281547449532025,0.033643358532517265,0.00039551832505875344,0.0329297451350695,0.03568492429336681,0.04266157388143744,0.057432407181357795,0.005848613271047434,0.022887615850115416,0.015065626979699931,0.0008235882126938071,-0.02585889388316273,0.00446551710926647,0.005044850861442345,0.007967694754104944,0.02881143144649786,0.004507966454638222,0.03478721767601786
2020-01-10,-0.00042765333080388,0.005868368388170847,3.5319912549612066e-05,0.012176347932723385,-0.007335185802305272,-0.007737189119661881,0.025078668388314747,0.002619288099690577,-0.01508472106108361,-0.01845018674033869,-0.003216446760666406,-0.007415597447837419,-0.022120079793177025,-0.007673178295980295,-0.012441266258974007,0.01205758696153979,0.004416271444932945,-0.012928416978738552,0.0030295349664514718,-0.005172624943606471
2020-01-11,-0.030550524361239728,-0.031990362833706903,-0.02060930404719977,-0.02614381166368448,-0.0197050581491882,-0.00788578898875149,-0.01304766777292468,-0.04602757014875431,-0.030572133594727928,-0.006332583213121157,0.007902675770817056,-0.042872594052252445,0.024257369825641216,0.023771436773142397,-0.011267066194583661,-0.013943822131559279,-0.01951521938055268,-0.019290610087201638,-0.03902349891133566,-0.04908710107406594
